"","deploymentID","cluster_id","round","week","habitat","cluster","treatment","date","sequenceID","commonName","Snow.cover","Camouflage.mismatch","Interaction_with_lure","deploy_date","interaction","delta_date","n","diff","diff_days","cam_effort","mammal"
"31","R1-W10OC2B","R1-W10OC2","R1","W10","O","C2","B","2022-03-21","89e4616255c759236134df5704560b68","Human",NA,"","False","2022-03-07",0,14,0,NA,14,11,0
"32","R1-W10OC2C","R1-W10OC2","R1","W10","O","C2","C","2022-03-21","f1896da48279571d2027d3274fa9a7d0","Human",NA,"","False","2022-03-07",0,14,0,NA,14,11,0
"33","R1-W10OC2W","R1-W10OC2","R1","W10","O","C2","W","2022-03-19","57a5c637a1b65c732d8ca94c119822e5","Hooded Crow",100,"Match","False","2022-03-07",0,12,1,NA,12,11,0
"34","R1-W10OC3B","R1-W10OC3","R1","W10","O","C3","B","2022-03-18","955a1b92498b7838a3f29b08a980939a","Red Fox",100,"Mismatch","True","2022-03-07",1,11,1,NA,11,12,1
"35","R1-W10OC3C","R1-W10OC3","R1","W10","O","C3","C","2022-03-21","898c4051084101d18911dbcb6d846b73","Human",NA,"","False","2022-03-07",0,14,0,NA,14,13,0
"36","R1-W10OC3W","R1-W10OC3","R1","W10","O","C3","W","2022-03-21","5a18f5065aa567ed73aec34ac9c20518","Human",NA,"","False","2022-03-07",0,14,0,NA,14,11,0
"37","R2-W12CC1B","R2-W12CC1","R2","W12","C","C1","B","2022-03-23","ea80f6c3e36802fed0c6b07c97dcc8a1","Red Fox",100,"Mismatch","True","2022-03-22",1,1,1,NA,1,14,1
"38","R2-W12CC1B","R2-W12CC1","R2","W12","C","C1","B","2022-03-29","2155f47aecce459ecf9e6a2091fe6eee","Red Fox",100,"Mismatch","False","2022-03-22",0,7,1,6,6,14,1
"39","R2-W12CC1C","R2-W12CC1","R2","W12","C","C1","C","2022-03-25","b5b8dc70cef5521c27127b952a5a25f8","Domestic Cat",100,"","False","2022-03-22",0,3,1,NA,3,14,1
"40","R2-W12CC1C","R2-W12CC1","R2","W12","C","C1","C","2022-03-29","73cc332c1e87902bc6557f1fe7d12138","Red Fox",90,"","False","2022-03-22",0,7,1,4,4,14,1
"41","R2-W12CC1W","R2-W12CC1","R2","W12","C","C1","W","2022-03-22","43a5ba3a6c6e1cf8942188714d371916","Domestic Cat",100,"Match","False","2022-03-22",0,0,1,NA,0,14,1
"42","R2-W12CC1W","R2-W12CC1","R2","W12","C","C1","W","2022-03-26","53f6566217b8ea6e7c3651129b31b988","Domestic Dog",100,"Match","True","2022-03-22",1,4,1,4,4,14,1
"43","R2-W12CC1W","R2-W12CC1","R2","W12","C","C1","W","2022-03-30","e8fd5c503b62c82616e29ebb4ce6e6f3","Domestic Cat",100,"Match","False","2022-03-22",0,8,1,4,4,14,1
"44","R2-W12CC1W","R2-W12CC1","R2","W12","C","C1","W","2022-04-03","c886bba546fac19ab60d1faa9131d401","European Badger",100,"Match","True","2022-03-22",1,12,1,4,4,14,1
"45","R2-W12CC2B","R2-W12CC2","R2","W12","C","C2","B","2022-03-24","f7e908886b5076df70b8c9e1edd74c45","Domestic Dog",100,"Mismatch","False","2022-03-22",0,2,1,NA,2,14,1
"46","R2-W12CC2B","R2-W12CC2","R2","W12","C","C2","B","2022-03-24","f7e908886b5076df70b8c9e1edd74c45","Domestic Dog",100,"Mismatch","True","2022-03-22",1,2,1,0,0,14,1
"47","R2-W12CC2B","R2-W12CC2","R2","W12","C","C2","B","2022-03-29","8bc09713732c902f1cc9ca4551c8239f","Red Fox",100,"Mismatch","False","2022-03-22",0,7,1,5,5,14,1
"48","R2-W12CC2C","R2-W12CC2","R2","W12","C","C2","C","2022-04-04","88b414acde44929d5fcdb9649582230c","Red Fox",100,"","False","2022-03-22",0,13,1,NA,13,14,1
