"","deploymentID","cluster_id","round","week","habitat","cluster","treatment","date.x","sequenceID","commonName","Snow.cover","Interaction_with_lure","interaction","delta_date","n","diff","diff_days","cam_effort","mammal","event","X","deploy_date","date.y","tot_time","down_time","Camouflage.mismatch","cxh"
"25","R2-W12CC1W","R2-W12CC1","R2","W12","C","C1","W","2022-03-30","e8fd5c503b62c82616e29ebb4ce6e6f3","Domestic Cat",100,"False",0,8,1,4,4,14,1,1,21,"2022-03-22","2022-04-05",14,0,"Match","Match C"
"26","R2-W12CC1W","R2-W12CC1","R2","W12","C","C1","W","2022-04-03","c886bba546fac19ab60d1faa9131d401","European Badger",100,"True",1,12,1,4,4,14,1,1,21,"2022-03-22","2022-04-05",14,0,"Match","Match C"
"27","R2-W12CC2B","R2-W12CC2","R2","W12","C","C2","B","2022-03-24","f7e908886b5076df70b8c9e1edd74c45","Domestic Dog",100,"False",0,2,1,NA,2,14,1,1,22,"2022-03-22","2022-04-05",14,0,"Mismatch","Mismatch C"
"28","R2-W12CC2B","R2-W12CC2","R2","W12","C","C2","B","2022-03-24","f7e908886b5076df70b8c9e1edd74c45","Domestic Dog",100,"True",1,2,1,0,0,14,1,1,22,"2022-03-22","2022-04-05",14,0,"Mismatch","Mismatch C"
"29","R2-W12CC2B","R2-W12CC2","R2","W12","C","C2","B","2022-03-29","8bc09713732c902f1cc9ca4551c8239f","Red Fox",100,"False",0,7,1,5,5,14,1,1,22,"2022-03-22","2022-04-05",14,0,"Mismatch","Mismatch C"
"30","R2-W12CC2W","R2-W12CC2","R2","W12","C","C2","W","2022-04-04","60793e123652b268077ee5492ba86d4e","Red Fox",100,"False",0,13,1,NA,13,14,1,1,24,"2022-03-22","2022-04-05",14,0,"Match","Match C"
"31","R2-W12CC3B","R2-W12CC3","R2","W12","C","C3","B","2022-04-03","9e21ba989705172f733cf18fbb3b9b64","Domestic Dog",100,"False",0,12,1,NA,12,14,1,1,25,"2022-03-22","2022-04-05",14,0,"Mismatch","Mismatch C"
"32","R2-W12CC3B","R2-W12CC3","R2","W12","C","C3","B","2022-04-03","b56da9f3f5cafe6f5db7043565db3e7c","Domestic Dog",100,"False",0,12,1,0,0,14,1,1,25,"2022-03-22","2022-04-05",14,0,"Mismatch","Mismatch C"
"33","R2-W12CC3B","R2-W12CC3","R2","W12","C","C3","B","2022-04-04","bf61ddf9d25b03ddd99df6126a1f0352","Domestic Dog",100,"False",0,13,1,1,1,14,1,1,25,"2022-03-22","2022-04-05",14,0,"Mismatch","Mismatch C"
"34","R2-W12CC3W","R2-W12CC3","R2","W12","C","C3","W","2022-03-25","25adfe559c573e11c48f9a9e80dc548e","European Badger",0,"False",0,3,1,NA,3,14,1,1,27,"2022-03-22","2022-04-05",14,0,"Match","Match C"
"35","R2-W12CC3W","R2-W12CC3","R2","W12","C","C3","W","2022-03-25","25adfe559c573e11c48f9a9e80dc548e","European Badger",0,"True",1,3,1,0,0,14,1,1,27,"2022-03-22","2022-04-05",14,0,"Match","Match C"
"36","R2-W12CC3W","R2-W12CC3","R2","W12","C","C3","W","2022-03-27","b6ef9abf5f8a63abafec8eb56f3e256c","European Badger",0,"False",0,5,1,2,2,14,1,1,27,"2022-03-22","2022-04-05",14,0,"Match","Match C"
"37","R2-W12CC3W","R2-W12CC3","R2","W12","C","C3","W","2022-03-29","fd4bbc2087447e4fd8618169ab33b264","Hooded Crow",100,"False",0,7,1,2,2,14,0,1,27,"2022-03-22","2022-04-05",14,0,"Match","Match C"
"38","R2-W12CC3W","R2-W12CC3","R2","W12","C","C3","W","2022-03-30","2717e0f6b8445ed31051d801de13a180","Hooded Crow",100,"False",0,8,1,1,1,14,0,1,27,"2022-03-22","2022-04-05",14,0,"Match","Match C"
"39","R2-W12OC1B","R2-W12OC1","R2","W12","O","C1","B","2022-04-03","cebc739431772c4ef5032e1056191579","Short-eared Owl",100,"False",0,13,1,NA,13,13,0,1,28,"2022-03-21","2022-04-04",14,1,"Mismatch","Mismatch O"
"40","R2-W12OC1W","R2-W12OC1","R2","W12","O","C1","W","2022-04-04","fcc4479abb7b02e4ea3a77709ac7ba35","Human",NA,"False",0,14,0,NA,14,12,0,1,30,"2022-03-21","2022-04-04",14,2,"Match","Match O"
"41","R2-W12OC2B","R2-W12OC2","R2","W12","O","C2","B","2022-04-04","f28e7beb80bdb89ae3bcf056ce718fec","Human",NA,"False",0,14,0,NA,14,12,0,1,31,"2022-03-21","2022-04-04",14,2,"Mismatch","Mismatch O"
"42","R2-W12OC2W","R2-W12OC2","R2","W12","O","C2","W","2022-03-29","25110ba23f316efab1e01b3818a77e12","Common Raven",100,"False",0,8,1,NA,8,14,0,1,33,"2022-03-21","2022-04-04",14,0,"Match","Match O"
"43","R2-W12OC3B","R2-W12OC3","R2","W12","O","C3","B","2022-03-25","c017735efc3a7f77d582ead613067bec","Short-eared Owl",100,"False",0,4,1,NA,4,10,0,1,34,"2022-03-21","2022-04-04",14,4,"Mismatch","Mismatch O"
"44","R2-W12OC3W","R2-W12OC3","R2","W12","O","C3","W","2022-04-04","e46eaa77280bcf3d0ba23baae88aec55","Human",NA,"False",0,14,0,NA,14,14,0,1,36,"2022-03-21","2022-04-04",14,0,"Match","Match O"
"45","R3-W14CC1B","R3-W14CC1","R3","W14","C","C1","B","2022-04-16","4fdcd6b13cd4cef3b736e4425db8a013","Red Fox",70,"False",0,11,1,NA,11,15,1,1,37,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"46","R3-W14CC1W","R3-W14CC1","R3","W14","C","C1","W","2022-04-20","a0b2f02af504fdace1fd1423e6d2a8c2","Human",NA,"False",0,15,0,NA,15,15,0,1,39,"2022-04-05","2022-04-20",15,0,"Match","Match C"
"47","R3-W14CC2B","R3-W14CC2","R3","W14","C","C2","B","2022-04-20","18cdb6fc557e7ff90766a819869c025d","Human",NA,"False",0,15,0,NA,15,15,0,1,40,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"48","R3-W14CC2W","R3-W14CC2","R3","W14","C","C2","W","2022-04-20","f3987f1a2c9431977d61d34759ff8e09","Human",NA,"False",0,15,0,NA,15,15,0,1,42,"2022-04-05","2022-04-20",15,0,"Match","Match C"
"49","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-05","4a83a4064ca6bd1506321697fa38f821","Red Fox",100,"False",0,0,1,NA,0,15,1,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"50","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-05","4a83a4064ca6bd1506321697fa38f821","Red Fox",100,"True",1,0,1,0,0,15,1,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
"51","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-07","d8fec172b66dc3d67515c97ba4b7981d","Hooded Crow",100,"False",0,2,1,2,2,15,0,1,43,"2022-04-05","2022-04-20",15,0,"Mismatch","Mismatch C"
